,city,lat,long,weather,temperature,humidity,temp_max,cloudiness,date,wind_speed
232,uarini,-2.9827061,-65.1578615,Rain,86.56,67,86.56,100,1669473891,1.68
233,nicoya,10.1488271,-85.4532657,Clouds,78.85,84,78.85,77,1669473894,1.7
234,hlotse,-28.866891,28.0579408,Rain,56.98,86,56.98,100,1669473898,13.29
235,luderitz,-26.6500086,15.157266,Clear,72.77,49,72.77,0,1669473902,34.94
236,pacific grove,36.6211149,-121.917794,Clear,47.91,80,53.67,0,1669473906,4.0
237,rocha,-34.4810095,-54.3365608,Clear,83.32,38,83.32,0,1669473910,9.48
238,dasoguz,41.83358,59.9590079,Clear,42.75,65,42.75,0,1669473913,16.11
239,altagracia de orituco,9.8624463,-66.3605635,Clouds,82.63,67,82.63,75,1669473917,3.36
240,qandala,11.471934,49.87341,Clouds,77.95,79,77.95,21,1669473921,5.41
241,roma,41.8933203,12.4829321,Clear,58.41,64,60.6,0,1669473925,14.97
242,palmer,61.5995703,-149.11109,Clouds,11.48,87,18.1,40,1669473929,0.0
243,mount gambier,-37.8246698,140.7820067624113,Clouds,53.76,89,53.76,69,1669473932,6.31
244,cedar city,37.6774238,-113.061827,Clear,20.37,79,20.37,0,1669473936,0.0
245,turukhansk,65.7934285,87.9589375,Clouds,-15.56,100,-15.56,100,1669473940,4.23
246,moussoro,8.7618167,17.95045,Clear,95.88,17,95.88,9,1669473944,4.38
247,nambale,1.0212623,34.1303945,Clouds,72.59,69,72.59,99,1669473948,5.21
248,kahului,20.8894101,-156.4727118,Rain,68.68,92,69.78,100,1669473951,5.75
249,opuwo,-18.0550384,13.8387366,Clouds,95.41,12,95.41,13,1669473956,14.85
250,ayagoz,47.9651211,80.4365994,Clouds,-17.46,93,-17.46,98,1669473960,13.67
251,thunder bay,48.406414,-89.259796,Clouds,24.85,86,26.71,75,1669473964,2.3
252,kieta,42.9997818,141.443687,Rain,39.51,33,40.17,37,1669473968,3.0
253,naples,40.8358846,14.2487679,Clouds,48.96,86,53.67,75,1669473950,14.97
254,batasan,12.5108956,121.1190936,Clouds,74.84,79,74.84,96,1669473980,4.7
255,mineiros,-17.5653879,-52.5536721,Clear,90.46,29,90.46,7,1669473984,2.82
256,sao joao da barra,-21.6348588,-41.0487079,Clouds,82.51,86,82.51,100,1669473988,12.28
257,coihaique,-45.5711804,-72.0684863,Clear,57.45,41,58.14,0,1669473992,3.44
258,calbuco,-41.7712143,-73.1275379,Clouds,56.41,76,56.41,22,1669473996,19.22
259,parksville,49.3179514,-124.3117397,Clouds,42.04,88,44.35,72,1669474001,6.91
260,henties bay,-22.1130313,14.2881683522115,Clear,62.28,74,62.28,1,1669474005,15.1
261,komsomolskiy,43.98266,46.6950001,Rain,52.72,88,52.72,100,1669474008,12.19
262,miri,4.392739,113.9880255,Clouds,78.91,89,78.91,20,1669474013,2.3
263,knysna,-34.035734,23.048485,Clouds,67.08,57,67.08,21,1669474017,8.25
264,ponta do sol,32.681067,-17.104073,Clouds,72.19,68,75.7,100,1669474021,1.36
265,nalut,31.8637865,10.9827903,Clouds,56.55,58,56.55,75,1669474025,19.73
266,angoche,-16.2292451,39.9081111,Clear,81.43,73,81.43,0,1669474029,16.2
267,kathu,7.9107004,98.3337592,Clouds,84.69,99,84.69,89,1669474033,8.1
268,calhoun,34.502587,-84.9510542,Clear,51.03,82,58.1,0,1669474009,0.0
269,burns lake,54.230269,-125.7645032,Clouds,35.62,97,35.62,76,1669474040,4.63
270,kamaishi,39.2757463,141.8858151,Clouds,52.57,74,52.57,58,1669474044,10.54
271,itarema,-2.9224684,-39.9152184,Clouds,88.29,54,88.29,95,1669474049,16.24
272,les cayes,18.1944428,-73.7511601,Clear,84.18,62,84.18,5,1669474056,6.17
273,pueblo bello,10.4119057,-73.5909603,Clouds,71.28,65,71.28,36,1669474059,3.89
274,pardi,20.842317,79.90196406122925,Clear,62.98,41,62.98,0,1669474063,3.33
275,surgut,61.254032,73.3964,Snow,-6.93,69,-6.93,96,1669474067,11.18
276,batagay,67.654907,134.635071,Clouds,-43.13,97,-43.13,55,1669474071,2.37
277,hobe sound,27.059498,-80.1364323,Clouds,80.24,83,84.97,45,1669474074,8.19
278,batemans bay,-35.7072183,150.178289,Clouds,60.19,85,60.19,97,1669474078,3.58
279,labuhan,-6.891973,112.9897177,Clouds,77.81,87,77.81,100,1669474084,6.29
280,luau,-10.7025518,22.2275381,Rain,69.17,88,69.17,100,1669474087,1.52
281,kangaba,11.9415411,-8.4138589,Clouds,95.63,10,95.63,32,1669474092,5.17
282,vilhena,-12.7368536,-60.1465555,Clouds,82.54,69,82.54,20,1669474096,8.05
283,gojra,31.1482371,72.6859082,Clear,67.55,20,67.55,8,1669474100,3.8
284,klaksvik,62.2266084,-6.5852705,Rain,51.04,95,51.04,100,1669474108,26.37
285,taltal,-25.4078293,-70.4858424,Clouds,67.35,70,67.35,32,1669474113,4.74
286,ruatoria,-37.8919955,178.3187514,Clouds,54.25,94,54.25,12,1669474117,4.79
287,santa vitoria do palmar,-33.5195569,-53.3692659,Clear,79.05,46,79.05,0,1669474121,10.25
288,davenda,53.555576,119.317032,Clouds,-10.84,99,-10.84,95,1669474125,3.49
289,boguchany,58.382816,97.461578,Clouds,-24.68,98,-24.68,99,1669474129,3.51
290,belyy yar,53.596436,91.382362,Clear,-10.17,73,-10.17,0,1669474133,11.18
291,jardim,-21.479941,-56.148902,Clear,94.32,28,94.32,6,1669474137,1.97
292,kloulklubed,7.0415131,134.2564595,Clouds,77.32,72,77.32,91,1669474141,4.65
293,tuatapere,-46.1323096,167.6907627,Clouds,40.23,89,40.23,43,1669474145,3.24
294,kimbe,-5.5562921,150.1529513,Clouds,75.76,93,75.76,69,1669474149,2.59
295,zhob,31.3397058,69.4476997,Clear,58.96,19,58.96,0,1669474152,2.86
296,aripuana,-10.175806,-59.4439663,Clouds,86.7,54,86.7,100,1669474156,4.18
297,lata,18.3983393,76.562087,Clouds,71.6,55,71.6,44,1669474160,7.02
298,wagar,33.8567672,75.2613473,Clear,44.1,50,44.1,0,1669474164,7.16
299,la asuncion,11.0339965,-63.8631527,Rain,76.73,100,76.73,64,1669474167,11.5
300,haines junction,60.7527212,-137.5100384,Clouds,21.15,68,21.15,100,1669474174,9.22
301,baixa grande,-11.9630941,-40.1657537,Clouds,86.11,56,86.11,94,1669474178,1.34
302,necochea,-38.5545494,-58.7392624,Clouds,80.06,37,80.06,78,1669474182,8.61
303,the valley,18.2145861,-63.0517759,Clouds,82.4,74,85.01,20,1669474185,11.5
304,college,45.32664695,-75.83855656986515,Clouds,37.98,74,39.85,75,1669474189,9.22
